parent_asin,year_month,feature_name,contribution
B0000CF3HB,2016-01,history_12m_low_rating_ratio,35.0
B0000CF3HB,2016-01,history_3m_low_rating_ratio,47.4
B0000CF3HB,2016-01,history_6m_low_rating_ratio,46.3
B0000CF3HB,2016-01,low_rating_ratio,41.3
B0000CF3HB,2016-01,history_3m_vs_6m_low_rating_ratio_delta,53.1
B0000CF3HB,2016-01,history_3m_vs_12m_low_rating_ratio_delta,73.0
B0000CF3HB,2016-01,avg_rating,36.0
B0000CF3HB,2016-01,history_12m_avg_rating,38.0
B0000CF3HB,2016-01,history_6m_avg_rating,47.0
B0000CF3HB,2016-01,history_3m_avg_rating,56.7
B0000CF3HB,2016-01,review_count,79.7
B0000CF3HB,2016-01,history_3m_review_count,70.7
B0000CF3HB,2016-01,history_12m_review_count,55.8
B0000CF3HB,2016-01,history_1m_review_count,80.9
B000AST3AK,2016-01,history_12m_low_rating_ratio,34.8
B000AST3AK,2016-01,history_3m_low_rating_ratio,32.1
B000AST3AK,2016-01,history_6m_low_rating_ratio,32.1
B000AST3AK,2016-01,low_rating_ratio,42.3
B000AST3AK,2016-01,history_3m_vs_6m_low_rating_ratio_delta,39.8
B000AST3AK,2016-01,history_3m_vs_12m_low_rating_ratio_delta,33.5
B000AST3AK,2016-01,avg_rating,36.8
B000AST3AK,2016-01,history_12m_avg_rating,44.1
B000AST3AK,2016-01,history_6m_avg_rating,43.0
B000AST3AK,2016-01,history_3m_avg_rating,42.3
B000AST3AK,2016-01,review_count,1.6
B000AST3AK,2016-01,history_3m_review_count,3.0
B000AST3AK,2016-01,history_12m_review_count,1.0
B000AST3AK,2016-01,history_1m_review_count,6.8
B000CMHLMG,2016-01,history_12m_low_rating_ratio,41.9
B000CMHLMG,2016-01,history_3m_low_rating_ratio,31.7
B000CMHLMG,2016-01,history_6m_low_rating_ratio,25.3
B000CMHLMG,2016-01,low_rating_ratio,41.3
B000CMHLMG,2016-01,history_3m_vs_6m_low_rating_ratio_delta,64.6
B000CMHLMG,2016-01,history_3m_vs_12m_low_rating_ratio_delta,20.6
B000CMHLMG,2016-01,avg_rating,54.7
B000CMHLMG,2016-01,history_12m_avg_rating,57.5
B000CMHLMG,2016-01,history_6m_avg_rating,40.0
B000CMHLMG,2016-01,history_3m_avg_rating,47.1
B000CMHLMG,2016-01,review_count,18.7
B000CMHLMG,2016-01,history_3m_review_count,41.1
B000CMHLMG,2016-01,history_12m_review_count,28.7
B000CMHLMG,2016-01,history_1m_review_count,58.7
B000DLB2FI,2016-01,history_12m_low_rating_ratio,86.2
B000DLB2FI,2016-01,history_3m_low_rating_ratio,84.3
B000DLB2FI,2016-01,history_6m_low_rating_ratio,83.7
B000DLB2FI,2016-01,low_rating_ratio,65.6
B000DLB2FI,2016-01,history_3m_vs_6m_low_rating_ratio_delta,69.1
B000DLB2FI,2016-01,history_3m_vs_12m_low_rating_ratio_delta,61.5
B000DLB2FI,2016-01,avg_rating,71.1
B000DLB2FI,2016-01,history_12m_avg_rating,88.6
B000DLB2FI,2016-01,history_6m_avg_rating,86.2
B000DLB2FI,2016-01,history_3m_avg_rating,84.6
B000DLB2FI,2016-01,review_count,1.9
B000DLB2FI,2016-01,history_3m_review_count,6.5
B000DLB2FI,2016-01,history_12m_review_count,1.2
B000DLB2FI,2016-01,history_1m_review_count,5.0
B000E8SVR2,2016-01,history_12m_low_rating_ratio,14.2
B000E8SVR2,2016-01,history_3m_low_rating_ratio,12.7
B000E8SVR2,2016-01,history_6m_low_rating_ratio,9.0
B000E8SVR2,2016-01,low_rating_ratio,9.8
B000E8SVR2,2016-01,history_3m_vs_6m_low_rating_ratio_delta,54.3
B000E8SVR2,2016-01,history_3m_vs_12m_low_rating_ratio_delta,31.5
B000E8SVR2,2016-01,avg_rating,33.7
B000E8SVR2,2016-01,history_12m_avg_rating,20.8
B000E8SVR2,2016-01,history_6m_avg_rating,12.6
B000E8SVR2,2016-01,history_3m_avg_rating,23.5
B000E8SVR2,2016-01,review_count,96.0
B000E8SVR2,2016-01,history_3m_review_count,75.4
B000E8SVR2,2016-01,history_12m_review_count,63.2
B000E8SVR2,2016-01,history_1m_review_count,86.0
B000FNKV1K,2016-01,history_12m_low_rating_ratio,54.4
B000FNKV1K,2016-01,history_3m_low_rating_ratio,35.1
B000FNKV1K,2016-01,history_6m_low_rating_ratio,32.5
B000FNKV1K,2016-01,low_rating_ratio,50.5
B000FNKV1K,2016-01,history_3m_vs_6m_low_rating_ratio_delta,54.2
B000FNKV1K,2016-01,history_3m_vs_12m_low_rating_ratio_delta,10.4
B000FNKV1K,2016-01,avg_rating,59.1
B000FNKV1K,2016-01,history_12m_avg_rating,52.9
B000FNKV1K,2016-01,history_6m_avg_rating,36.4
B000FNKV1K,2016-01,history_3m_avg_rating,31.1
B000FNKV1K,2016-01,review_count,49.9
B000FNKV1K,2016-01,history_3m_review_count,68.5
B000FNKV1K,2016-01,history_12m_review_count,56.6
B000FNKV1K,2016-01,history_1m_review_count,80.9
B000FNKV2Y,2016-01,history_12m_low_rating_ratio,57.7
B000FNKV2Y,2016-01,history_3m_low_rating_ratio,82.1
B000FNKV2Y,2016-01,history_6m_low_rating_ratio,78.8
B000FNKV2Y,2016-01,low_rating_ratio,82.9
B000FNKV2Y,2016-01,history_3m_vs_6m_low_rating_ratio_delta,81.5
B000FNKV2Y,2016-01,history_3m_vs_12m_low_rating_ratio_delta,95.6
B000FNKV2Y,2016-01,avg_rating,83.5
B000FNKV2Y,2016-01,history_12m_avg_rating,55.4
B000FNKV2Y,2016-01,history_6m_avg_rating,71.0
B000FNKV2Y,2016-01,history_3m_avg_rating,78.8
B000FNKV2Y,2016-01,review_count,34.8
B000FNKV2Y,2016-01,history_3m_review_count,97.6
B000FNKV2Y,2016-01,history_12m_review_count,80.2
B000FNKV2Y,2016-01,history_1m_review_count,96.6
B000KI3O1O,2016-01,history_12m_low_rating_ratio,47.3
B000KI3O1O,2016-01,history_3m_low_rating_ratio,59.7
B000KI3O1O,2016-01,history_6m_low_rating_ratio,72.5
B000KI3O1O,2016-01,low_rating_ratio,9.8
B000KI3O1O,2016-01,history_3m_vs_6m_low_rating_ratio_delta,9.4
B000KI3O1O,2016-01,history_3m_vs_12m_low_rating_ratio_delta,78.6
B000KI3O1O,2016-01,avg_rating,31.2
B000KI3O1O,2016-01,history_12m_avg_rating,54.0
B000KI3O1O,2016-01,history_6m_avg_rating,72.0
B000KI3O1O,2016-01,history_3m_avg_rating,59.5
B000KI3O1O,2016-01,review_count,99.5
B000KI3O1O,2016-01,history_3m_review_count,22.6
B000KI3O1O,2016-01,history_12m_review_count,21.7
B000KI3O1O,2016-01,history_1m_review_count,69.7
B000NCTOUM,2016-01,history_12m_low_rating_ratio,16.6
B000NCTOUM,2016-01,history_3m_low_rating_ratio,19.3
B000NCTOUM,2016-01,history_6m_low_rating_ratio,20.5
B000NCTOUM,2016-01,low_rating_ratio,9.8
B000NCTOUM,2016-01,history_3m_vs_6m_low_rating_ratio_delta,34.8
B000NCTOUM,2016-01,history_3m_vs_12m_low_rating_ratio_delta,46.6
B000NCTOUM,2016-01,avg_rating,18.5
B000NCTOUM,2016-01,history_12m_avg_rating,14.4
B000NCTOUM,2016-01,history_6m_avg_rating,14.9
B000NCTOUM,2016-01,history_3m_avg_rating,19.7
B000NCTOUM,2016-01,review_count,37.2
B000NCTOUM,2016-01,history_3m_review_count,54.0
B000NCTOUM,2016-01,history_12m_review_count,34.3
B000NCTOUM,2016-01,history_1m_review_count,64.0
B000TCZRKW,2016-01,history_12m_low_rating_ratio,50.5
B000TCZRKW,2016-01,history_3m_low_rating_ratio,36.0
B000TCZRKW,2016-01,history_6m_low_rating_ratio,40.7
B000TCZRKW,2016-01,low_rating_ratio,58.9
B000TCZRKW,2016-01,history_3m_vs_6m_low_rating_ratio_delta,28.8
B000TCZRKW,2016-01,history_3m_vs_12m_low_rating_ratio_delta,15.2
B000TCZRKW,2016-01,avg_rating,63.5
B000TCZRKW,2016-01,history_12m_avg_rating,59.1
B000TCZRKW,2016-01,history_6m_avg_rating,53.4
B000TCZRKW,2016-01,history_3m_avg_rating,49.8
B000TCZRKW,2016-01,review_count,10.2
B000TCZRKW,2016-01,history_3m_review_count,10.8
B000TCZRKW,2016-01,history_12m_review_count,17.8
B000TCZRKW,2016-01,history_1m_review_count,8.6
B000UW2DTE,2016-01,history_12m_low_rating_ratio,31.6
B000UW2DTE,2016-01,history_3m_low_rating_ratio,20.3
B000UW2DTE,2016-01,history_6m_low_rating_ratio,34.7
B000UW2DTE,2016-01,low_rating_ratio,46.8
B000UW2DTE,2016-01,history_3m_vs_6m_low_rating_ratio_delta,11.2
B000UW2DTE,2016-01,history_3m_vs_12m_low_rating_ratio_delta,17.4
B000UW2DTE,2016-01,avg_rating,42.4
B000UW2DTE,2016-01,history_12m_avg_rating,37.0
B000UW2DTE,2016-01,history_6m_avg_rating,35.7
B000UW2DTE,2016-01,history_3m_avg_rating,21.3
B000UW2DTE,2016-01,review_count,24.3
B000UW2DTE,2016-01,history_3m_review_count,15.2
B000UW2DTE,2016-01,history_12m_review_count,6.6
B000UW2DTE,2016-01,history_1m_review_count,34.5
B000VBLBUG,2016-01,history_12m_low_rating_ratio,28.9
B000VBLBUG,2016-01,history_3m_low_rating_ratio,32.9
B000VBLBUG,2016-01,history_6m_low_rating_ratio,24.2
B000VBLBUG,2016-01,low_rating_ratio,25.4
B000VBLBUG,2016-01,history_3m_vs_6m_low_rating_ratio_delta,70.8
B000VBLBUG,2016-01,history_3m_vs_12m_low_rating_ratio_delta,52.7
B000VBLBUG,2016-01,avg_rating,52.6
B000VBLBUG,2016-01,history_12m_avg_rating,48.6
B000VBLBUG,2016-01,history_6m_avg_rating,53.8
B000VBLBUG,2016-01,history_3m_avg_rating,65.2
B000VBLBUG,2016-01,review_count,37.2
B000VBLBUG,2016-01,history_3m_review_count,91.7
B000VBLBUG,2016-01,history_12m_review_count,63.2
B000VBLBUG,2016-01,history_1m_review_count,69.7
B000XPT0DK,2016-01,history_12m_low_rating_ratio,41.9
B000XPT0DK,2016-01,history_3m_low_rating_ratio,81.0
B000XPT0DK,2016-01,history_6m_low_rating_ratio,58.8
B000XPT0DK,2016-01,low_rating_ratio,9.8
B000XPT0DK,2016-01,history_3m_vs_6m_low_rating_ratio_delta,98.0
B000XPT0DK,2016-01,history_3m_vs_12m_low_rating_ratio_delta,97.6
B000XPT0DK,2016-01,avg_rating,50.4
B000XPT0DK,2016-01,history_12m_avg_rating,68.1
B000XPT0DK,2016-01,history_6m_avg_rating,74.8
B000XPT0DK,2016-01,history_3m_avg_rating,84.7
B000XPT0DK,2016-01,review_count,79.7
B000XPT0DK,2016-01,history_3m_review_count,93.0
B000XPT0DK,2016-01,history_12m_review_count,56.2
B000XPT0DK,2016-01,history_1m_review_count,80.9
B001ICYB2M,2016-01,history_12m_low_rating_ratio,9.7
B001ICYB2M,2016-01,history_3m_low_rating_ratio,14.5
B001ICYB2M,2016-01,history_6m_low_rating_ratio,10.2
B001ICYB2M,2016-01,low_rating_ratio,20.6
B001ICYB2M,2016-01,history_3m_vs_6m_low_rating_ratio_delta,55.4
B001ICYB2M,2016-01,history_3m_vs_12m_low_rating_ratio_delta,50.3
B001ICYB2M,2016-01,avg_rating,11.8
B001ICYB2M,2016-01,history_12m_avg_rating,6.2
B001ICYB2M,2016-01,history_6m_avg_rating,5.6
B001ICYB2M,2016-01,history_3m_avg_rating,9.0
B001ICYB2M,2016-01,review_count,13.1
