row_id,parent_asin,year_month,risk_probability,current_review_count,review_evidence_confidence,s45_raw_score,s45_raw_mil_score,mil_score_change,model_consistency_confidence,operational_confidence,confidence_level
24838,B0BNN6GLK7,2023-01,0.9110028351354668,8.0,0.4444444444444444,0.9067601987180256,0.9110028351354668,0.004242636417441159,0.9831726429001367,0.606062903981152,보통
24937,B0CBS9VSJJ,2023-01,0.8629928924024971,10.0,0.5,0.8527882898831185,0.8629928924024971,0.010204602519378603,0.9600034410711983,0.6380010323213594,보통
24744,B09JY8YPTK,2023-01,0.8439358915196827,18.0,0.6428571428571429,0.8271193257040613,0.8439358915196827,0.01681656581562141,0.9349462263593236,0.7304838679077971,보통
24651,B07RZ4MGXR,2023-01,0.8050022510662129,10.0,0.5,0.8173115057914622,0.8050022510662129,-0.012309254725249241,0.9519554715172771,0.6355866414551832,보통
24828,B0BKYCRTZK,2023-01,0.796506177235621,8.0,0.4444444444444444,0.791768534790507,0.796506177235621,0.004737642445113988,0.9812278633527941,0.6054794701169492,보통
24770,B09W5PBYKD,2023-01,0.7955410979052756,10.0,0.5,0.7876135393930123,0.7955410979052756,0.007927558512263344,0.9687872629738711,0.6406361788921613,보통
24751,B09MJWFL31,2023-01,0.7895905788540377,8.0,0.4444444444444444,0.7761313033561508,0.7895905788540377,0.013459275497886947,0.9475864538761898,0.595387047273968,보통
24806,B0BBV3C32X,2023-01,0.7638855237404146,10.0,0.5,0.7698290990710535,0.7638855237404146,-0.005943575330638828,0.9765060810192254,0.6429518243057676,보통
24852,B0BTM1TJGP,2023-01,0.7398904517164283,8.0,0.4444444444444444,0.7375773313518835,0.7398904517164283,0.002313120364544785,0.9907901910381478,0.6083481684225553,보통
24874,B0BYPL3SLD,2023-01,0.7076770811710099,26.0,0.7222222222222222,0.6740688311735158,0.7076770811710099,0.03360824999749412,0.8742114490902995,0.7678189902826453,높음
24941,B0CFMQLYHG,2023-01,0.7042855536574907,8.0,0.4444444444444444,0.6745470528488807,0.7042855536574907,0.029738500808609958,0.8878486379884072,0.5774657025076332,보통
24858,B0BVYFL4G2,2023-01,0.6612650062506937,30.0,0.75,0.6759277210706742,0.6612650062506937,-0.014662714819980494,0.9430359639416137,0.8079107891824839,높음
24604,B06VW9HKXF,2023-01,0.6603468792918704,14.0,0.5833333333333334,0.6748948304736216,0.6603468792918704,-0.014547951181751229,0.9434689682731265,0.6913740238152712,보통
24815,B0BH4YNB3T,2023-01,0.5327077757714882,39.0,0.7959183673469388,0.5382838944358628,0.5327077757714882,-0.005576118664374574,0.9779424310298811,0.8505255864518213,높음
24655,B07THLMZ37,2023-01,0.5031793904459946,15.0,0.6,0.49772446732220554,0.5031793904459946,0.005454923123789035,0.9784166350097703,0.7135249905029311,보통
24939,B0CC9G6H6S,2023-01,0.46693865749043145,16.0,0.6153846153846154,0.4442077955297405,0.46693865749043145,0.022730861960690962,0.9130876070499464,0.7046955128842147,보통
24622,B07GXBTH82,2023-01,0.4537427341905037,18.0,0.6428571428571429,0.4304319067520959,0.4537427341905037,0.02331082743840779,0.9109718249990477,0.7232915474997144,보통
24940,B0CDGZZPSY,2023-01,0.45237125575191256,9.0,0.47368421052631576,0.45494481261590314,0.45237125575191256,-0.002573556863990578,0.9897585767553114,0.6285065203950144,보통
24915,B0C6CLBBQ1,2023-01,0.4346801091705575,10.0,0.5,0.4206200728063455,0.4346801091705575,0.014060036364211992,0.9453120962250035,0.633593628867501,보통
24628,B07HR81PD2,2023-01,0.4322133641219295,13.0,0.5652173913043478,0.43860863891191015,0.4322133641219295,-0.006395274789980643,0.974743324895386,0.6880751713816592,보통
24686,B085J2JV64,2023-01,0.429652926626272,26.0,0.7222222222222222,0.41350572156018184,0.429652926626272,0.016147205066090187,0.9374528457545535,0.7867914092819215,높음
24668,B07YFDB6Y6,2023-01,0.424658813642688,11.0,0.5238095238095238,0.424612992627928,0.424658813642688,4.582101475997247e-05,0.9998167327364571,0.6666116864876037,보통
24696,B08C6GQKQW,2023-01,0.41239279620168656,9.0,0.47368421052631576,0.40213567341496753,0.41239279620168656,0.01025712278671903,0.9598017837046463,0.6195194824798149,보통
24633,B07N82GT4R,2023-01,0.4038282052145628,9.0,0.47368421052631576,0.4111782922848394,0.4038282052145628,-0.0073500870702765675,0.9710276373931359,0.6228872385863617,보통
24854,B0BTSQRXNZ,2023-01,0.38684017405229437,48.0,0.8275862068965517,0.3886915959655972,0.38684017405229437,-0.001851421913302842,0.9926216668835594,0.8770968448926539,높음
24748,B09LM1H5N9,2023-01,0.38274748482201965,24.0,0.7058823529411765,0.3516074525511287,0.38274748482201965,0.03114003227089096,0.8828851726939914,0.7589831988670209,높음
24699,B08DBMRW2H,2023-01,0.37614648308842313,20.0,0.6666666666666666,0.39482799665037477,0.37614648308842313,-0.018681513561951635,0.9279976725307832,0.7450659684259016,보통
24577,B0028BAAWW,2023-01,0.375314221575681,16.0,0.6153846153846154,0.3877560698799176,0.375314221575681,-0.012441848304236613,0.9514507126526578,0.7162044445650282,보통
24786,B0B2QP5MFN,2023-01,0.3562575813345049,19.0,0.6551724137931034,0.3618083347852419,0.3562575813345049,-0.005550753450736967,0.9780416589384237,0.7520331873366994,높음
24647,B07QJWX98P,2023-01,0.3390846177257631,18.0,0.6428571428571429,0.34684017644708304,0.3390846177257631,-0.007755558721319944,0.9694540171375249,0.7408362051412575,보통
24718,B08SBJRJGV,2023-01,0.3315670094320229,20.0,0.6666666666666666,0.32512274257294943,0.3315670094320229,0.006444266859073455,0.9745523248416887,0.7590323641191732,높음
24637,B07PGRX339,2023-01,0.3275147595532113,11.0,0.5238095238095238,0.3309700925387706,0.3275147595532113,-0.0034553329855592785,0.986273744136036,0.6625487899074773,보통
24649,B07RHYHS9Y,2023-01,0.3273354304736804,24.0,0.7058823529411765,0.327399677016358,0.3273354304736804,-6.424654267761509e-05,0.999743046847407,0.7940405611130457,높음
24932,B0C94VM8NS,2023-01,0.323715222483055,44.0,0.8148148148148148,0.32022264797003264,0.323715222483055,0.003492574513022373,0.9861268337157311,0.8662084204850896,높음
24923,B0C7CC35KH,2023-01,0.3149939068293658,19.0,0.6551724137931034,0.3243729840585866,0.3149939068293658,-0.009379077229220822,0.9631787091912156,0.7475743024125371,보통
24857,B0BVR77MZJ,2023-01,0.29762581385559833,12.0,0.5454545454545454,0.32432125785545485,0.29762581385559833,-0.026695443999856516,0.8987217742535067,0.6514347140942338,보통
24919,B0C6SGRVBX,2023-01,0.2930760145928362,27.0,0.7297297297297297,0.2695500751370887,0.2930760145928362,0.023525939455747547,0.910188318182791,0.783867306265648,높음
24588,B00ZYDKI1Y,2023-01,0.28725894384735406,26.0,0.7222222222222222,0.2950599882964645,0.28725894384735406,-0.00780104444911045,0.9692776478964622,0.7963388499244941,높음
24599,B01FF4ASTS,2023-01,0.2725664981693395,17.0,0.6296296296296297,0.2651354316222765,0.2725664981693395,0.007431066547062992,0.9707131550890256,0.7319546872674484,보통
24731,B099QHBFP2,2023-01,0.2707982508656554,43.0,0.8113207547169812,0.27313387224939195,0.2707982508656554,-0.0023356213837365525,0.990701019894677,0.8651348342702898,높음
24878,B0C195VN2X,2023-01,0.26943842026204684,47.0,0.8245614035087719,0.28262786955466396,0.26943842026204684,-0.013189449292617117,0.9486097406240726,0.8617759046433622,높음
