parent_asin,year_month,topic,topic_label,delta,n_reviews_t,rating,verified_purchase,helpful_vote,review_text
B07MK1TFG8,2021-07,durability_failure,내구성 고장,0.8,5,2.0,True,0,you get what you pay for broke on the first time trying to latch get what you paid for
B07MK1TFG8,2021-07,durability_failure,내구성 고장,0.8,5,1.0,True,0,didn t last worked good at first stopped working 2 weeks after i installed it
B07MK1TFG8,2021-07,durability_failure,내구성 고장,0.8,5,1.0,True,0,pass recently purchased a set and they fit good but definitely do not last very long one gave up three days after installing it and the other made it just shy of two weeks
B07MK1TFG8,2021-07,durability_failure,내구성 고장,0.8,5,1.0,True,0,premature failure the original item failed within a couple of months and the replacement latch failed within weeks i cannot in all good conscious recommend this product
B07QFG55SY,2016-09,incompatibility,호환 및 규격,0.78571,7,1.0,True,2,not 15tcbl i have placed 1 order they did not fit i am returning so i ordered a new order they do not fit these are different than what i have always received these do not fit my 15 broan
B07QFG55SY,2016-09,incompatibility,호환 및 규격,0.78571,7,1.0,True,1,i have used these for about a year now i have used these for about a year now and always worked well until the last order they now do not fit the 15 inch compactors as they have 12 inch bags in stock with the 12 inch barcode covered by a stick on barcode for the 15 inch bags be careful
B07QFG55SY,2016-09,incompatibility,호환 및 규격,0.78571,7,1.0,True,1,trash bags arrived and too small the brown ones do not fit the 15 models
B07QFG55SY,2016-09,incompatibility,호환 및 규격,0.78571,7,1.0,True,1,do not fit these bags do not fit the 15bl like it states they are way too small
B07QFG55SY,2016-09,incompatibility,호환 및 규격,0.78571,7,1.0,True,1,9 out of 12 are wrong size pulled out fourth of 12 bag and the rest are for a smaller compactor
B07CCYL55F,2018-12,incompatibility,호환 및 규격,0.74737,5,1.0,True,0,does not fit like one from manufacture i bought this and it was too thick my washer would not close properly i bought directly from the manufacture and the new one fits like it should
B07CCYL55F,2018-12,incompatibility,호환 및 규격,0.74737,5,1.0,True,0,too big this gasket will not work with a frigidaire gallery dishwasher although it fits it s slightly too big and causes the dishwasher to stop mid cycle because it doesn t allow for a tight enough seal tried this gasket for two weeks ended up just buying an authentic frigidaire part zero issues with the dishwasher cycle with the authentic part
B07CCYL55F,2018-12,incompatibility,호환 및 규격,0.74737,5,1.0,True,0,don t buy this is a complete waste of money it does not fit not even close i installed it and the door from the dishwasher wouldn t even close it s 3x the size of the original one
B07CCYL55F,2018-12,incompatibility,호환 및 규격,0.74737,5,5.0,True,0,it works oem replacement does not this gasket is a little different than the original but it worked first try with no fiddling the oem whilpool replacement for our dwu9202 maytag did not fit and could not be made completely leak free
B09P55VZFT,2023-01,durability_failure,내구성 고장,0.71429,5,5.0,True,0,perfect fit perfect replacement for a broken pod holder
