topic,rating,review_text,matched_other_topics,is_correct,note
return_blocked,1.0,died easy to install worked till yesterday now does not work 1 week outside of return date,"durability_failure,performance",,
misrepresentation,4.0,not oem but same parts great price replacing just the rollers was all i wanted to do but from appliance web sites each roller was 32 each without the belt or tensioning roller these sites are great to find the part numbers and the breakdown of the dryer parts fit great and the dryer works much better now,,,
shipping_packaging,1.0,very disappointed one of the filters came damaged the others were poorly and cheaply made,build_quality,,
durability_failure,1.0,i should have listened to the other reviews i confirm that the belt in this dryer repair kit is defective the belt broke with in the first 10 minutes of use so i placed the old belt that has more than 12 year of wear and tear back on the machine and it works fine but i still need a new belt i am sure that the old belt has very little service life left in it i have emailed the seller about the prob,,,
refund_warranty_cs,1.0,disappointed in the cuisinart brand returned because it would not work after i followed set up instructions gave an error message i called the cuisinart customer service phone number and was on hold for 15 20 minutes with the recorded messages telling me every 30 seconds or so that all representatives were busy and i had a more than 5 minute wait time i decided to give up i ordered this coffee mak,"performance,leak_damage",,
refund_warranty_cs,1.0,ordered directly from lg will not screw in correctly lg changed the plastic injection mold see photo of original filter and new lg filter the 2 small internal lugs are at 45degrees to the locking lugs on the outside of filter the new ones are perpendicular to the outside lugs so it is impossible to fully turn the filter to lock in place lg want me to pay for a service tech to come out to tell me t,incompatibility,,
return_intent,4.0,small and modern for what you want looks very nice clean and modern although i did not try it the circle thing where you put clothes in is really loose so i assume it would make a loud noise light enough to move around not as heavy as you may think i returned it because it appeared smaller than in the photos and because the inside circle where you put in clothes was not centered it was far off to ,refund_warranty_cs,,
leak_damage,1.0,the lower price but pureline s quality control must be poor i bought the 3 pack pureline pl 200 3 fbm samsung compatible water enticed by the lower price but pureline s quality control must be poor i bought the 3 pack pureline pl 200 3 fbm samsung compatible water filter first one i put in had a hairline crack in the end of the filter at the handle and had a slow leak when i would wipe the end of ,purchase_warning,,
durability_failure,2.0,new one every year bought it may 2019 broke today july 14 2020 nothing spilled on it no reason was sparking and started on fire will not buy again,,,
return_intent,1.0,double your money worked perfect for about a week then quit sent it back asking for replacement they did a refund with the time wasted i should have bought a better item,refund_warranty_cs,,
refund_warranty_cs,5.0,great refrigerator amazon delivery and install was great i took a chance and purchased the kenmore 73029 refrigerator from amazon saved a lot of money installation was free and professional and so far works great there are a few bad reviews on this refrigerator but most reviews are positive so to be safe i purchased the extended warranty the warranty was also reasonably priced compared to local st,,,
incompatibility,1.0,buyer beware this sounds like a great deal it may just be but only if you have a stacking washer and dryer somewhere i am sure it says that it s for a stacking set but i as one who does read the description got pulled in by the video and ordered it by watching the moving pictures this will not fit on a stand alone dryer do not get it unless you have a stackable even then i am not too sure,purchase_warning,,
return_blocked,5.0,much better price than going through samsung samsung wanted 60 per replacement knob i have only had the range 4 years and the knobs were all cracking which seems like a parts defect that they should have replaced for zero charge but they claimed it was a warranty item and of course that had expired but 60 per knob is outrageous these look great and were only 34 plus tax for all five in the set i l,refund_warranty_cs,,
build_quality,4.0,great range hood with some gimmicks great range hood with some gimmicks i have had this for about six months now i have it vented to the great outdoors i must say that it works like a charm this thing could suck out the nastiest grease fire on high it s a little less noisy than the average job which runs at about 1 3 the cfm but still noisy at first i had it set to recirculate while i mustered up ,leak_damage,,
return_intent,2.0,doesn t have the pictured screw on lid unlike other brewers this price you need their pitcher pictured in the description pics is a screw on lid cover this is not included nor is the lid a silicone type tight seal lid it s just a pop in not on or over plastic flex lid if it s jostled at all the lid pops off and your tea or coffee grains are now all over in your water this apparently needs the pitc,,,
return_blocked,5.0,awesome replacement perfect fit and not noisy as others have said great replacement parts shipped fast and and at a nice price i guess we are stuck with our pile of crap bosch washer for a while longer,,,
purchase_warning,5.0,exactly what i wanted the base snaps on and off for easier cleaning it works well and should last a long time if not abused liquid flows down the outside of the funnel by design for that reason it can not be easily used like a conventional funnel without the base if you want the outside to stay dry do not buy this funnel,,,
return_blocked,1.0,do not trust whirlpool or amazon it worked for 5 months and too late for the return policy it s warranted for 1 full year i contacted whirlpool three times and was told they would not repair or replace it because i bought it at amazon and must return it to them i chatted with amazon and got this reply we will not be able to help you with the return as our system will not allow us to take any actio,performance,,
water_taste_filter,4.0,did notice a little better flavor i am just not crazy about having to did notice a little better flavor i am just not crazy about having to use a different process to make a cup of coffee using these filters i did find out why a different process is required since the normal process with the reusable filters results in a lot of sediment similar to a french press last couple of cups,,,
shipping_packaging,4.0,i m glad i spent the extra dollars of course i used it right out the box the washer works good it is about counter height especially since i have it on wheels those two back wheels don t maneuver well enough for me also the amazon driver did not deliver to my apartment door as asked 2nd floor it was left blocking the entrance to my first floor neighbor s doors my washer also arrived dented as many,,,
performance,1.0,filter the filter did not work in my ge refrigerator,,,
leak_damage,5.0,good price fixed leak,,,
refund_warranty_cs,5.0,go with what was designed for your fridge installed easily ran about four or five big gulps of volume through perhaps initially cloudy but quickly dissipated clean and works great best to use certified filter not sure if it matters related to voiding any sort of warranty with 3rd party filters but i was not taking any chances to save 10 bucks,,,
misrepresentation,1.0,they seem far more durable and work better i do not think i have ever written a negative review but i have purchased four of this these filters specifically the keurig brand two from the actual keurig site in the last few months and they are not made well they are complicated to use and just as other reviewers have revealed with their photos the plastic lip around the lid is so fragile pieces of i,"build_quality,refund_warranty_cs,purchase_warning",,
leak_damage,1.0,do not buy for ge refrigerator s does not work with ge refrigerators after installing this and the water given a leak air i realized that it does not have the computer chip that must be used to work with the ge caf refrigerators very frustrating will be returning,"performance,return_intent,purchase_warning",,
build_quality,4.0,not durable and overpriced but what else are you going to do this product should only be considered by people with compact dishwashers my current rental has such a unit and this basket is the only one i could find that would fit to check compatibility see my detailed measurements at the end i paid 22 i feel like it might be worth half of that but with no other options i guess i was just lucky to f,,,
purchase_warning,1.0,useless this tool was worthless i got it after watching a few videos on youtube and seeing how easy it was supposed to make the reinstallation of the spring you put the rounded end in the hoop on the wire and the hook through the spring then as you squeeze the pliers the spring is supposed to be able to latch onto the wire hook yet at its closed position the spring was no where near the wires hook,performance,,
purchase_warning,4.0,great product for supplementing trips to the laundromat first of all i would probably have given it 5 stars if pieces did not keep falling off but the thing does seem a little cheaply made however the pieces that do fall off do not affect the actual functionality of the product the other downfall is the suction cups on the bottom are often very difficult to get to adhere to a surface but again tha,build_quality,,
shipping_packaging,1.0,package open and item missing both package and box were open upon receipt and water filter was missing,,,
refund_warranty_cs,5.0,ice maker i bought this to have ice in the house for frosty drinks 3 months later the water pump stopped working but customer service is great and worked with me to rectify the issue,durability_failure,,
durability_failure,5.0,saved me buying a new machine our dryer has been in our home since we purchased in 2000 we thought it was time to replace the machine since the filter was broken and old no way we purchased this and running as before amazing product,,,
shipping_packaging,4.0,better price for the product easy to install but quite disappointed the tab freshness indicator was missing so no way to actually know when it is time to replace it,,,
build_quality,1.0,french doors large size ice maker good price update 6 5 2021 update 3 28 2022 update 12 30 22 the installer bungled the freezer section by leaving a screw in place beneath the bottom decorative bezel which caused an air leak and subsequent large amounts of frost but sears sent a repair person over and they fixed it right up after diagnosing the issue other than that we love it 5 weeks into it it s,"durability_failure,leak_damage,refund_warranty_cs",,
durability_failure,4.0,ge lg washer lid switch arrived at tail end of estimated eta but part worked not too bad to install if you can do basic wiring and follow diagram and saved us from having to get new washer just weeks after we had to get a new stove range that was not working right just before thanksgiving edit worked for 5 5 months and same part burnt out and have to get a new one was hoping would last a year or t,,,
return_blocked,5.0,perfect fit on our whirlpool dishwasher looks identical to the original parts that broke shortly after the warranty expired bit of a pain to install but that s the nature of the design honestly ca not tell the difference between this and the part sold by the manufacturer at nearly 2x the price for a single art if the dishwasher lasts long enough that i need to replace these clips again i will defi,"durability_failure,refund_warranty_cs",,
