review_label,review_type,review_note,topic,rating,review_text
,,,leak_damage,5.0,good price fixed leak
,,,refund_warranty_cs,5.0,ice maker i bought this to have ice in the house for frosty drinks 3 months later the water pump stopped working but customer service is great and worked with me to rectify the issue
,,,performance,4.0,quick replacement our first order was for the 2 pack and one did not work it was returned and the replacement was received quickly it works and we are very pleased with the service
,,,water_taste_filter,2.0,eco friendly but a pain to use if i took a photo you could see the mess this device caused it required more h2o to clean this thing than what it made in coffee plus popping out the used coffee puck is less convenient too lots of sediment going in the bottom of my cup i really wanted to like it but i don t
,,,leak_damage,5.0,15 minutes fix got this for my kitchedaid dishwasher thanks to a video i found on youtube on how to fix the bottom water leak the leak is gone and i am really happy how easy to change was it best 9 dollars i have spent
,,,water_taste_filter,4.0,excellant for the price i am satisfied with this filter it has the slightly angled grooves that my original filter has so it fits and locks in place although it does drip ever so slightly i have placed a small bowl under it to catch the drip there s only a small amount that builds up in the bowl that evaporates so much so i have never had to empty it the water quality is good i use it mostly for m
,,,water_taste_filter,4.0,useful and cost effective they aren t quite as convenient as k cups but they save quite a bit in waste and money these pods are very useful and easy to clean my only complaint is that they don t filter as good as a regular filter there is a good amount of sediment but that doesn t really bother me my wife doesn t like the sediment but it s not that big of deal for me i would recommend
,,,leak_damage,5.0,i would buy from them again in a heartbeat part fit perfectly and very easy to install saved 230 by verified it was this was leaking folks check out youtube it will have instructions how to troubleshoot and step by step to replace parts
,,,shipping_packaging,1.0,need refund wrong item did not fit i am wanting to return this item and there is no return field exact replacements erb44t10010 bake element
,,,leak_damage,5.0,perfect replacement perfect replacement for a panda washing machine my oem hose started leaking on the second day of using it ordered this hose and have had no problems since
,,,water_taste_filter,1.0,not reusable the pores are tiny and it clogs it does not make it any better even if it is cleaned with vinegar scrubbed with soap or with a pressure wash even if you pore plain water it does not filter that too for those of you who want to use this more than 3 times suggest you go with a filter that is actually reusable perhaps a net filter where you can get the clogs out
,,,shipping_packaging,1.0,wrong and cheap wrong item
,,,shipping_packaging,4.0,the screw top is so much better than the flip top ones i got this one with the screw on top to replace the laundry alternative washer of ours that had broken the top of the laundry alternative washer has a flip top that always leaked the screw top keeps the water in much better i am giving it 4 stars simply because it was missing one of the side pins that secure it to the base we salvaged one from
,,,refund_warranty_cs,5.0,best and fastest customer service ever excellent customer service sorted out my issue within a day range is now working properly
,,,misrepresentation,4.0,fits it met expectations but why so expensive for a chinese knock off
,,,refund_warranty_cs,5.0,great customer service even after the warranty period is expired i have had my sensor for over 6 years and after i moved a few times the sensor would not reset and i was not able to restart it after contacting customer service who was very responsive i was unable to reflash the sw myself and proteus happily reflashed it for me and was returned to me in exactly one week the sensor has always been r
,,,incompatibility,4.0,great product it states it wo not fit ge but with a little work on the pan it sets in it will if u have the round 1 1 2 setback electric ends the stove is two months old and burners started to fail already they have the safety shut offs in the center and with wock cooking they soon fail happy so far fast shipping
,,,leak_damage,5.0,fix that leaking mashing machine our washer developed a drip that came from the valve unit that mixes the hot and cold water for the tub it s a bit of a chore getting behind the washer but about 45 minutes later the new unit was in place and took care of the problem great part and fast shipping thank you for your help
,,,durability_failure,5.0,perfect fit and value well it s an exact match for the one i removed that was cracked i do not really like the lg design of this thing because i can see were the stress point could cause it to break but i will say this one is just like the one i removed and a good value compared to other sites that were about twice as much been working fine for a month now easy install
,,,build_quality,5.0,works fixes a problem with how the wheels were constructed from the manufacturer replaces a flimsy plastic piece with sturdy metal
,,,water_taste_filter,5.0,taste free replaced rubber water hose for fridge due to chemical taste with this no more bad flavors
,,,durability_failure,5.0,just what it claims to be i just replaced the knobs on our gas range with these after the shafts of the old ones broke the new ones slid right on no problem and look like original equipment very satisfied i wish the shafts were reinforced to prevent failure in the future but they are exactly like the originals just do not twist them too tightly and they wo not break
,,,shipping_packaging,5.0,great buy so glad i got this dryer i have the dryer on high for all my clothes except delicates the high setting dries the clothes just like a regular size dryer would i do not have to put the clothes back in for another cycle as long as you clean the lint trap and do not over load it with clothes it will dry them perfectly the product came in on time the box was damaged and my dryer did have a sm
,,,build_quality,5.0,fit perfectly a bargain compared to oem parts these fit perfectly and installed quite easily so much cheaper than the oem parts which are crummy and turned brittle and broke after only 3 years fingers crossed these will last longer but if they do not at this price i will just buy more
,,,shipping_packaging,1.0,spring is not stainless steel the old chopper was worn and a blade was missing a 1 4 inch of its tip after 10 years original use the chopper in the picture was in the machine for only 3 days when it was removed to replace the circulation pump and the spring is already showing corrosion the spring is not stainless steel the spring in the second photo is from the original that has been in the dishwa
