parent_asin,year_month,n_reviews_t,n_reviews_p3,text_reliability,topic,topic_label,rate_t,rate_p3,rate_t_shrunk,delta,is_surge,count_t,surge_confidence
B07MK1TFG8,2021-07,5,6.0,0.5,durability_failure,내구성 고장,0.8,0.0,0.43806,0.8,1,4,moderate
B07QFG55SY,2016-09,7,14.0,0.5833,incompatibility,호환 및 규격,1.0,0.21429,0.6,0.78571,1,7,moderate
B07CCYL55F,2018-12,5,19.0,0.5,incompatibility,호환 및 규격,0.8,0.05263,0.41999,0.74737,1,4,moderate
B09P55VZFT,2023-01,5,7.0,0.5,durability_failure,내구성 고장,1.0,0.28571,0.53806,0.71429,1,5,moderate
B08224JXXY,2022-04,5,10.0,0.5,durability_failure,내구성 고장,0.8,0.1,0.43806,0.7,1,4,moderate
B07YHLB84H,2021-03,6,29.0,0.5455,durability_failure,내구성 고장,1.0,0.31034,0.58005,0.68966,1,6,moderate
B08217KDQJ,2021-12,6,8.0,0.5455,durability_failure,내구성 고장,0.66667,0.0,0.39824,0.66667,1,4,moderate
B07L7TN699,2019-04,6,2.0,0.5455,durability_failure,내구성 고장,0.66667,0.0,0.39824,0.66667,1,4,moderate
B0895G7PWC,2022-07,6,3.0,0.5455,durability_failure,내구성 고장,0.66667,0.0,0.39824,0.66667,1,4,moderate
B08QV8PL3R,2022-07,6,5.0,0.5455,durability_failure,내구성 고장,0.66667,0.0,0.39824,0.66667,1,4,moderate
B00INXG9MY,2019-04,6,71.0,0.5455,purchase_warning,구매 경고,0.66667,0.01408,0.37624,0.65258,1,4,moderate
B0C2DQMJGQ,2018-09,8,28.0,0.6154,durability_failure,내구성 고장,0.75,0.10714,0.49081,0.64286,1,6,moderate
B00WQRKDNY,2019-11,5,12.0,0.5,leak_damage,누수 및 파손 피해,0.8,0.16667,0.40868,0.63333,1,4,moderate
B0B69D699Q,2022-10,6,17.0,0.5455,build_quality,제작 품질,0.66667,0.05882,0.37323,0.60784,1,4,moderate
B00DM8K72S,2018-12,5,12.0,0.5,incompatibility,호환 및 규격,0.6,0.0,0.31999,0.6,1,3,moderate
B0BHTNL45Q,2022-09,5,2.0,0.5,incompatibility,호환 및 규격,0.6,0.0,0.31999,0.6,1,3,moderate
B00LQDAGB8,2019-04,5,11.0,0.5,durability_failure,내구성 고장,0.6,0.0,0.33806,0.6,1,3,moderate
B01KYGAUTU,2018-02,5,10.0,0.5,incompatibility,호환 및 규격,0.6,0.0,0.31999,0.6,1,3,moderate
B00CD4MW6Q,2020-06,5,4.0,0.5,durability_failure,내구성 고장,0.6,0.0,0.33806,0.6,1,3,moderate
B0BGTBHC7P,2021-09,5,17.0,0.5,performance,성능 미달,0.6,0.0,0.31277,0.6,1,3,moderate
B07V3765S6,2023-01,5,12.0,0.5,durability_failure,내구성 고장,0.6,0.0,0.33806,0.6,1,3,moderate
B0C2THH2MS,2022-05,5,10.0,0.5,incompatibility,호환 및 규격,0.6,0.0,0.31999,0.6,1,3,moderate
B009HQGFX4,2021-07,5,20.0,0.5,incompatibility,호환 및 규격,0.6,0.0,0.31999,0.6,1,3,moderate
B095P11YSJ,2022-03,5,9.0,0.5,purchase_warning,구매 경고,0.6,0.0,0.31386,0.6,1,3,moderate
B0BKYRM37J,2023-02,5,9.0,0.5,refund_warranty_cs,환불 보증 고객대응,0.6,0.0,0.31025,0.6,1,3,moderate
B07MWTNDXT,2018-10,5,15.0,0.5,performance,성능 미달,0.6,0.0,0.31277,0.6,1,3,moderate
B09QFYQ69F,2018-12,5,1.0,0.5,durability_failure,내구성 고장,0.6,0.0,0.33806,0.6,1,3,moderate
B082RWPSMS,2020-09,5,8.0,0.5,durability_failure,내구성 고장,0.6,0.0,0.33806,0.6,1,3,moderate
B08B3HCJLM,2021-05,5,5.0,0.5,durability_failure,내구성 고장,0.6,0.0,0.33806,0.6,1,3,moderate
B087BT4C71,2021-09,5,19.0,0.5,incompatibility,호환 및 규격,0.6,0.0,0.31999,0.6,1,3,moderate
B08RCG9W8S,2020-06,5,5.0,0.5,durability_failure,내구성 고장,0.6,0.0,0.33806,0.6,1,3,moderate
B07B9H7GMN,2020-01,5,19.0,0.5,leak_damage,누수 및 파손 피해,0.6,0.0,0.30868,0.6,1,3,moderate
B0BTQ7FSLF,2019-07,5,13.0,0.5,incompatibility,호환 및 규격,0.6,0.0,0.31999,0.6,1,3,moderate
B0C34QCZW5,2022-09,5,14.0,0.5,refund_warranty_cs,환불 보증 고객대응,0.6,0.0,0.31025,0.6,1,3,moderate
B089VSYR3T,2022-04,5,8.0,0.5,durability_failure,내구성 고장,0.6,0.0,0.33806,0.6,1,3,moderate
B0B5NQ46F8,2021-10,5,31.0,0.5,durability_failure,내구성 고장,0.6,0.0,0.33806,0.6,1,3,moderate
B07KGKJJP8,2019-08,6,14.0,0.5455,durability_failure,내구성 고장,0.66667,0.07143,0.39824,0.59524,1,4,moderate
B087T715KL,2020-08,8,28.0,0.6154,durability_failure,내구성 고장,0.625,0.03571,0.41389,0.58929,1,5,moderate
B0B7BJZ4LX,2022-09,5,14.0,0.5,durability_failure,내구성 고장,0.8,0.21429,0.43806,0.58571,1,4,moderate
B0791XNY1F,2020-12,10,14.0,0.6667,durability_failure,내구성 고장,0.8,0.21429,0.55871,0.58571,1,8,strong
B07C9R2MK7,2019-06,6,68.0,0.5455,durability_failure,내구성 고장,0.83333,0.25,0.48914,0.58333,1,5,moderate
B072YQNJCR,2022-12,10,23.0,0.6667,incompatibility,호환 및 규격,0.8,0.21739,0.54666,0.58261,1,8,strong
B0763BMN9T,2021-05,6,11.0,0.5455,build_quality,제작 품질,0.66667,0.09091,0.37323,0.57576,1,4,moderate
B07DNXWC18,2022-03,6,11.0,0.5455,durability_failure,내구성 고장,0.66667,0.09091,0.39824,0.57576,1,4,moderate
B0C5H7JRSD,2022-07,9,11.0,0.6429,durability_failure,내구성 고장,0.66667,0.09091,0.45576,0.57576,1,6,moderate
B07TKGJMJT,2021-12,7,1.0,0.5833,incompatibility,호환 및 규격,0.57143,0.0,0.35,0.57143,1,4,moderate
B082MV8XGC,2020-10,7,6.0,0.5833,incompatibility,호환 및 규격,0.57143,0.0,0.35,0.57143,1,4,moderate
B01E9DSA0A,2017-06,7,27.0,0.5833,performance,성능 미달,0.71429,0.14815,0.42731,0.56614,1,5,moderate
B0BG7R5Y89,2022-11,6,9.0,0.5455,incompatibility,호환 및 규격,0.66667,0.11111,0.38181,0.55556,1,4,moderate
B0C69G8PHH,2021-04,9,45.0,0.6429,durability_failure,내구성 고장,0.77778,0.22222,0.52718,0.55556,1,7,moderate
B00545AU92,2020-01,6,18.0,0.5455,durability_failure,내구성 고장,0.66667,0.11111,0.39824,0.55556,1,4,moderate
B08GKVMRP5,2018-05,6,35.0,0.5455,durability_failure,내구성 고장,0.66667,0.11429,0.39824,0.55238,1,4,moderate
B088NR83SY,2021-03,5,4.0,0.5,incompatibility,호환 및 규격,0.8,0.25,0.41999,0.55,1,4,moderate
B09LQL5M8W,2022-03,6,34.0,0.5455,durability_failure,내구성 고장,0.66667,0.11765,0.39824,0.54902,1,4,moderate
B0773FWJ2Y,2017-09,5,18.0,0.5,performance,성능 미달,0.6,0.05556,0.31277,0.54444,1,3,moderate
B07BGHC4TD,2020-12,5,18.0,0.5,leak_damage,누수 및 파손 피해,0.6,0.05556,0.30868,0.54444,1,3,moderate
B07L5KCPL4,2020-08,5,17.0,0.5,durability_failure,내구성 고장,0.6,0.05882,0.33806,0.54118,1,3,moderate
B08KCW7CH6,2021-02,5,34.0,0.5,performance,성능 미달,0.6,0.05882,0.31277,0.54118,1,3,moderate
B089S2DSW6,2021-02,6,15.0,0.5455,durability_failure,내구성 고장,0.66667,0.13333,0.39824,0.53333,1,4,moderate
B075XZ3JCF,2021-10,5,15.0,0.5,durability_failure,내구성 고장,0.8,0.26667,0.43806,0.53333,1,4,moderate
B079PN8CS2,2020-07,5,14.0,0.5,durability_failure,내구성 고장,0.6,0.07143,0.33806,0.52857,1,3,moderate
B083YVCZDM,2022-12,10,17.0,0.6667,durability_failure,내구성 고장,0.7,0.17647,0.49204,0.52353,1,7,strong
B0BBG4K2S9,2022-12,5,13.0,0.5,durability_failure,내구성 고장,0.6,0.07692,0.33806,0.52308,1,3,moderate
B07HKCQN2X,2021-11,6,34.0,0.5455,durability_failure,내구성 고장,0.66667,0.14706,0.39824,0.51961,1,4,moderate
B08WWGS5B6,2022-09,6,27.0,0.5455,durability_failure,내구성 고장,0.66667,0.14815,0.39824,0.51852,1,4,moderate
B07X7LBRW7,2020-02,8,14.0,0.6154,leak_damage,누수 및 파손 피해,0.875,0.35714,0.54514,0.51786,1,7,moderate
