year_month,active_product_count,product_month_count,total_review_count,product_months_ge_5,product_months_ge_10
2000-10,1,1,1,0,0
2002-11,1,1,1,0,0
2003-01,1,1,1,0,0
2003-02,1,1,1,0,0
2003-03,1,1,1,0,0
2003-06,1,1,1,0,0
2003-09,1,1,1,0,0
2003-11,1,1,1,0,0
2003-12,2,2,2,0,0
2004-03,1,1,1,0,0
2004-06,2,2,2,0,0
2004-07,3,3,4,0,0
2004-08,2,2,2,0,0
2004-09,1,1,1,0,0
2004-10,2,2,2,0,0
2004-11,2,2,3,0,0
2004-12,1,1,1,0,0
2005-01,2,2,4,0,0
2005-02,2,2,3,0,0
2005-03,4,4,7,0,0
2005-04,2,2,3,0,0
2005-05,7,7,10,0,0
2005-06,2,2,2,0,0
2005-07,3,3,3,0,0
2005-08,4,4,7,0,0
2005-09,8,8,10,0,0
2005-10,11,11,13,0,0
2005-11,8,8,11,0,0
2005-12,4,4,4,0,0
2006-01,9,9,13,0,0
2006-02,17,17,24,0,0
2006-03,15,15,24,1,0
2006-04,8,8,10,0,0
2006-05,4,4,5,0,0
2006-06,6,6,6,0,0
2006-07,12,12,13,0,0
2006-08,14,14,16,0,0
2006-09,4,4,4,0,0
2006-10,8,8,11,0,0
2006-11,18,18,33,1,0
2006-12,14,14,21,1,0
2007-01,46,46,96,5,2
2007-02,20,20,40,2,0
2007-03,35,35,67,5,0
2007-04,22,22,31,1,0
2007-05,35,35,58,3,0
2007-06,26,26,31,0,0
2007-07,31,31,40,0,0
2007-08,30,30,42,1,0
2007-09,31,31,49,1,0
2007-10,28,28,43,0,0
2007-11,28,28,36,1,0
2007-12,48,48,71,1,1
2008-01,50,50,83,3,1
2008-02,48,48,81,2,0
2008-03,42,42,68,3,0
2008-04,36,36,52,0,0
2008-05,43,43,60,1,0
2008-06,44,44,66,1,0
2008-07,50,50,71,1,0
2008-08,61,61,74,0,0
2008-09,56,56,74,1,0
2008-10,47,47,71,1,0
2008-11,53,53,77,1,0
2008-12,59,59,95,3,0
2009-01,85,85,153,4,1
2009-02,91,91,128,1,0
2009-03,78,78,107,2,1
2009-04,84,84,124,3,1
2009-05,69,69,98,2,0
2009-06,69,69,99,4,0
2009-07,61,61,85,2,0
2009-08,85,85,118,2,0
2009-09,90,90,138,2,0
2009-10,88,88,117,1,0
2009-11,107,107,158,3,0
2009-12,121,121,190,5,1
2010-01,143,143,227,5,1
2010-02,159,159,285,10,1
2010-03,173,173,274,7,1
2010-04,143,143,218,6,1
2010-05,138,138,233,6,1
2010-06,158,158,249,7,2
2010-07,158,158,240,7,1
2010-08,174,174,303,11,3
2010-09,197,197,331,10,4
2010-10,185,185,319,14,2
2010-11,219,219,372,13,3
2010-12,280,280,449,9,5
2011-01,288,288,533,13,4
2011-02,261,261,464,15,4
2011-03,303,303,524,19,6
2011-04,289,289,457,13,3
2011-05,297,297,479,11,4
2011-06,300,300,471,14,2
2011-07,362,362,591,16,4
2011-08,377,377,684,16,8
2011-09,409,409,758,26,5
2011-10,413,413,729,21,5
2011-11,445,445,808,23,6
2011-12,528,528,1043,31,9
2012-01,522,522,1138,38,11
2012-02,511,511,982,28,11
2012-03,478,478,865,21,7
2012-04,445,445,772,20,7
2012-05,452,452,793,20,8
2012-06,487,487,845,27,8
2012-07,559,559,1006,31,8
2012-08,545,545,952,31,11
2012-09,623,623,1105,38,8
2012-10,719,719,1315,44,8
2012-11,897,897,1818,71,26
2012-12,1287,1287,3485,142,55
2013-01,1412,1412,4071,170,70
2013-02,1353,1353,3548,151,57
2013-03,1398,1398,3689,165,60
2013-04,1297,1297,3239,131,46
2013-05,1293,1293,3295,137,52
2013-06,1282,1282,3178,129,49
2013-07,1423,1423,3626,143,61
2013-08,1488,1488,3687,147,66
2013-09,1452,1452,3173,132,43
2013-10,1562,1562,3655,133,53
2013-11,1495,1495,3382,136,45
2013-12,1770,1770,4590,187,71
2014-01,1899,1899,5384,223,89
2014-02,1749,1749,4658,197,77
2014-03,1931,1931,5026,206,79
2014-04,1653,1653,4217,187,65
2014-05,1672,1672,4127,170,61
2014-06,1720,1720,4270,170,61
2014-07,2466,2466,7733,312,130
2014-08,2563,2563,7894,330,136
2014-09,2509,2509,7645,329,137
2014-10,2749,2749,7971,325,132
2014-11,2691,2691,7740,333,131
2014-12,3118,3118,9925,430,169
2015-01,3128,3128,10419,427,175
2015-02,3177,3177,10525,416,180
2015-03,3258,3258,11289,458,190
2015-04,3222,3222,9816,362,147
2015-05,3246,3246,9527,381,145
2015-06,3179,3179,9455,379,154
2015-07,3331,3331,10079,422,169
2015-08,3520,3520,10566,444,177
2015-09,3336,3336,9889,423,178
2015-10,3605,3605,10528,454,186
2015-11,3646,3646,10681,457,182
2015-12,2980,2980,8691,385,158
2016-01,3678,3678,11545,473,217
2016-02,3762,3762,11535,499,221
2016-03,4410,4410,14194,638,263
2016-04,3733,3733,10368,440,173
2016-05,4098,4098,12120,519,210
2016-06,4065,4065,11997,515,213
2016-07,4322,4322,12982,566,241
2016-08,4449,4449,13631,625,243
2016-09,4341,4341,12655,580,235
2016-10,4408,4408,12730,550,235
2016-11,4047,4047,11887,534,202
2016-12,5040,5040,16780,710,307
2017-01,4982,4982,17892,691,328
2017-02,4372,4372,14550,573,266
2017-03,4936,4936,17134,670,310
2017-04,4374,4374,14375,568,249
2017-05,4306,4306,12274,507,200
2017-06,4208,4208,11722,466,175
2017-07,4184,4184,12489,522,194
2017-08,4842,4842,15057,614,253
2017-09,4639,4639,13740,571,220
2017-10,4450,4450,12879,530,220
2017-11,4368,4368,12835,541,223
2017-12,4374,4374,13175,551,232
2018-01,5252,5252,17795,750,323
2018-02,5166,5166,15792,679,277
2018-03,5710,5710,17859,778,315
2018-04,5479,5479,15955,665,268
2018-05,5098,5098,14195,605,228
2018-06,5181,5181,15212,671,271
2018-07,5476,5476,16043,720,269
2018-08,5364,5364,15675,670,251
2018-09,4888,4888,13098,542,213
2018-10,5190,5190,14134,609,235
2018-11,5258,5258,14289,627,230
2018-12,6103,6103,17750,752,294
2019-01,6228,6228,18994,844,345
2019-02,5647,5647,16156,660,265
2019-03,6344,6344,18502,786,300
2019-04,6378,6378,17812,772,287
2019-05,6879,6879,20358,885,329
2019-06,7159,7159,21203,910,344
2019-07,8074,8074,26289,1140,448
2019-08,7614,7614,22882,1016,362
2019-09,7127,7127,20673,915,320
2019-10,7452,7452,21237,921,327
2019-11,7802,7802,22870,971,351
2019-12,9383,9383,31354,1431,517
2020-01,9754,9754,35052,1613,612
2020-02,8773,8773,29795,1293,493
2020-03,7472,7472,23108,993,397
2020-04,6142,6142,18337,766,291
2020-05,6744,6744,22330,883,365
2020-06,7020,7020,22354,924,361
2020-07,7776,7776,25232,1075,415
2020-08,8119,8119,26756,1162,438
2020-09,8006,8006,24905,1075,403
2020-10,8302,8302,26098,1119,414
2020-11,8142,8142,24186,1034,380
2020-12,9352,9352,29756,1294,489
2021-01,9584,9584,33074,1333,484
2021-02,9801,9801,31290,1336,502
2021-03,10662,10662,36430,1571,589
2021-04,10252,10252,33291,1394,541
2021-05,9582,9582,28430,1154,447
2021-06,9525,9525,28634,1177,433
2021-07,9724,9724,30284,1240,473
2021-08,9238,9238,28019,1154,446
2021-09,8554,8554,23354,948,358
2021-10,8455,8455,22463,910,330
2021-11,8521,8521,21762,887,323
2021-12,9132,9132,24349,997,366
2022-01,9536,9536,26314,1110,406
2022-02,8686,8686,22015,886,312
2022-03,8994,8994,23568,987,361
2022-04,8599,8599,22686,930,321
2022-05,8290,8290,21824,910,326
