year_month,review_count
2000-10,1
2002-11,1
2003-01,1
2003-02,1
2003-03,1
2003-06,1
2003-09,1
2003-11,1
2003-12,2
2004-03,1
2004-06,2
2004-07,4
2004-08,2
2004-09,1
2004-10,2
2004-11,3
2004-12,1
2005-01,4
2005-02,3
2005-03,7
2005-04,3
2005-05,10
2005-06,2
2005-07,3
2005-08,7
2005-09,10
2005-10,16
2005-11,11
2005-12,4
2006-01,13
2006-02,24
2006-03,24
2006-04,10
2006-05,5
2006-06,6
2006-07,13
2006-08,16
2006-09,4
2006-10,13
2006-11,33
2006-12,21
2007-01,101
2007-02,42
2007-03,70
2007-04,31
2007-05,59
2007-06,31
2007-07,40
2007-08,42
2007-09,49
2007-10,44
2007-11,40
2007-12,72
2008-01,83
2008-02,83
2008-03,68
2008-04,54
2008-05,61
2008-06,67
2008-07,71
2008-08,76
2008-09,74
2008-10,73
2008-11,78
2008-12,95
2009-01,155
2009-02,129
2009-03,115
2009-04,124
2009-05,98
2009-06,101
2009-07,85
2009-08,120
2009-09,141
2009-10,119
2009-11,160
2009-12,192
2010-01,228
2010-02,290
2010-03,275
2010-04,221
2010-05,235
2010-06,252
2010-07,242
2010-08,309
2010-09,336
2010-10,322
2010-11,376
2010-12,451
2011-01,540
2011-02,467
2011-03,530
2011-04,461
2011-05,487
2011-06,479
2011-07,598
2011-08,692
2011-09,772
2011-10,738
2011-11,816
2011-12,1056
2012-01,1158
2012-02,993
2012-03,874
2012-04,781
2012-05,800
2012-06,862
2012-07,1015
2012-08,960
2012-09,1116
2012-10,1324
2012-11,1830
2012-12,3506
2013-01,4115
2013-02,3604
2013-03,3729
2013-04,3282
2013-05,3341
2013-06,3204
2013-07,3668
2013-08,3724
2013-09,3203
2013-10,3684
2013-11,3432
2013-12,4632
2014-01,5465
2014-02,4706
2014-03,5075
2014-04,4258
2014-05,4175
2014-06,4303
2014-07,7794
2014-08,7982
2014-09,7706
2014-10,8048
2014-11,7797
2014-12,10044
2015-01,10535
2015-02,10638
2015-03,11390
2015-04,9914
2015-05,9615
2015-06,9550
2015-07,10166
2015-08,10678
2015-09,9998
2015-10,10645
2015-11,10797
2015-12,8770
2016-01,11651
2016-02,11661
2016-03,14353
2016-04,10455
2016-05,12217
2016-06,12121
2016-07,13094
2016-08,13790
2016-09,12780
2016-10,12854
2016-11,12006
2016-12,16934
2017-01,18050
2017-02,14720
2017-03,17310
2017-04,14508
2017-05,12392
2017-06,11828
2017-07,12590
2017-08,15196
2017-09,13906
2017-10,13008
2017-11,12960
2017-12,13317
2018-01,17967
2018-02,15935
2018-03,18054
2018-04,16101
2018-05,14337
2018-06,15378
2018-07,16167
2018-08,15835
2018-09,13217
2018-10,14279
2018-11,14410
2018-12,17919
2019-01,19210
2019-02,16344
2019-03,18696
2019-04,17984
2019-05,20588
2019-06,21404
2019-07,26523
2019-08,23127
2019-09,20903
2019-10,21477
2019-11,23067
2019-12,31681
2020-01,35440
2020-02,30102
2020-03,23388
2020-04,18549
2020-05,22549
2020-06,22582
2020-07,25515
2020-08,27064
2020-09,25164
2020-10,26373
2020-11,24443
2020-12,30082
2021-01,33441
2021-02,31621
2021-03,36838
2021-04,33648
2021-05,28720
2021-06,28967
2021-07,30619
2021-08,28300
2021-09,23620
2021-10,22700
2021-11,22028
2021-12,24618
2022-01,26612
2022-02,22237
2022-03,23826
2022-04,22947
2022-05,22067
2022-06,22510
2022-07,26752
2022-08,28980
2022-09,25509
2022-10,25902
2022-11,24906
2022-12,27239
2023-01,30281
2023-02,24955
2023-03,28510
2023-04,16843
2023-05,9831
2023-06,6211
2023-07,4888
2023-08,3336
2023-09,198
